impact,pos 0,pos 1,pos 2,pos 3,pos 4,pos 5,pos 6,pos 7,pos 8,pos 9,pos 10,pos 11,pos 12,pos 13,pos 14,pos 15,pos 16,pos 17
1,7,59,58,58,58,58,59,58,6,58,58,58,58,58,51,59,17,59
2,6,7,57,7,47,57,58,57,58,57,7,57,57,57,52,6,59,17
3,59,6,27,59,59,6,27,10,27,51,6,50,10,51,58,17,18,12
4,8,9,28,57,46,7,28,9,28,50,8,51,9,50,42,7,16,18
5,56,8,36,56,57,49,47,7,7,52,9,12,12,17,50,8,19,58
6,58,10,38,60,56,48,26,8,57,38,57,49,8,48,21,16,7,60
7,9,11,6,55,48,56,6,56,26,49,59,48,11,47,43,15,15,10
8,57,58,59,6,7,8,46,6,8,42,56,38,7,7,49,18,8,26
9,17,56,26,8,6,9,48,13,21,48,17,47,17,8,40,60,26,34
10,55,35,37,54,43,47,19,12,56,14,46,13,56,56,41,23,6,19
11,54,60,30,9,35,50,36,23,54,15,10,36,18,6,38,58,10,13
12,18,47,14,49,50,51,21,47,30,43,47,56,43,49,12,24,34,52
13,52,23,7,12,29,55,38,48,36,27,16,35,13,18,20,50,24,16
14,10,57,49,36,49,11,49,46,19,13,55,52,19,38,54,14,60,51
15,27,54,31,44,31,10,18,35,31,44,45,10,40,36,19,34,9,9
16,43,13,56,18,44,38,35,11,55,6,48,23,42,52,57,30,52,57
17,60,46,55,48,34,12,57,34,38,41,52,46,44,46,36,31,23,33
18,15,12,18,17,54,37,20,24,20,40,18,14,55,12,44,42,27,44
19,44,17,15,43,16,36,17,21,18,36,54,24,45,16,37,51,12,24
20,16,48,48,47,17,46,54,49,59,19,44,17,34,9,48,33,11,11
21,42,45,19,52,55,13,50,14,24,12,43,9,20,35,22,22,51,50
22,19,40,24,35,8,59,37,20,29,8,38,60,6,60,13,52,44,27
23,28,50,51,14,45,45,24,22,46,28,15,18,22,10,18,19,42,8
24,14,55,35,27,30,35,7,50,39,9,14,37,46,45,10,21,31,54
25,40,28,39,23,52,24,56,51,45,7,11,11,35,39,59,10,28,28
26,47,24,17,28,27,27,40,18,35,60,19,22,21,19,55,49,50,42
27,46,22,20,45,18,14,15,55,48,54,39,6,29,54,34,26,30,43
28,51,14,29,10,41,23,10,19,49,20,49,20,52,37,6,48,54,35
29,26,44,40,15,38,22,44,26,15,34,35,42,33,42,60,57,33,30
30,36,49,54,38,14,54,12,44,47,39,12,15,41,28,17,9,43,31
31,45,33,11,13,42,17,22,17,9,33,21,33,16,20,14,38,41,15
32,29,34,13,46,21,26,29,45,17,21,42,54,31,27,27,44,35,7
33,11,38,47,42,40,33,39,59,60,37,50,21,23,11,30,43,49,37
34,24,16,12,33,22,15,51,36,23,18,40,19,28,29,23,13,20,14
35,37,18,16,24,36,39,55,33,41,59,34,31,27,41,7,47,21,23
36,41,52,8,26,15,28,45,37,37,30,36,39,14,23,39,12,39,56
37,34,39,41,37,37,16,34,38,44,26,27,34,47,43,31,11,46,21
38,23,20,46,41,9,19,13,43,50,24,22,40,60,34,56,41,40,36
39,50,41,21,19,13,41,23,15,11,55,20,28,59,13,9,39,14,46
40,31,26,50,34,33,30,60,31,42,56,30,41,48,24,45,40,58,47
41,49,30,45,11,28,21,30,28,33,22,23,45,24,40,24,20,47,41
42,48,21,42,40,12,42,9,39,22,11,33,8,26,33,28,27,13,20
43,35,29,23,39,51,52,16,27,14,10,41,16,37,26,11,56,48,39
44,38,32,10,51,19,18,42,42,16,47,29,27,39,21,29,29,45,49
45,13,37,44,21,39,31,31,52,40,31,13,26,30,31,15,46,57,29
46,22,43,9,30,60,29,8,30,51,16,28,43,36,59,33,37,36,6
47,20,51,52,31,23,40,41,60,12,23,31,44,54,15,16,36,55,48
48,33,36,34,50,20,44,14,29,43,17,37,59,51,14,46,54,38,38
49,30,31,43,29,26,60,52,32,52,45,24,29,50,55,35,32,32,32
50,39,19,33,22,11,32,11,41,10,46,60,7,32,22,26,35,29,55
51,12,42,32,20,24,20,43,40,34,35,51,55,15,32,47,28,56,22
52,32,27,22,16,32,43,33,16,13,32,32,32,38,44,32,55,22,40
53,21,15,60,32,10,34,32,54,32,29,26,30,49,30,8,45,37,45
